date,name,description,type
2025-03-13,Holika Dahana,Holika Dahana is a restricted holiday in India,Optional holiday
2025-03-14,Holi,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.","National holiday, Hinduism"
2025-03-14,Dolyatra,Dolyatra is a restricted holiday in India,Optional holiday
2025-03-20T14:31:21+05:30,March Equinox,March Equinox in India (New Delhi),Season
2025-03-28,Jamat Ul-Vida,Jamat Ul-Vida is a restricted holiday in India,Optional holiday
2025-03-30,Chaitra Sukhladi,Chaitra Sukhladi is a restricted holiday in India,"Hinduism, Optional holiday"
2025-03-30,Ugadi,Ugadi is a restricted holiday in India,"Hinduism, Optional holiday"
2025-03-30,Gudi Padwa,Gudi Padwa is a restricted holiday in India,"Hinduism, Optional holiday"
2025-03-31,Ramzan Id,"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India.",National holiday
2025-04-06,Rama Navami,"Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha of Ayodhya.","Hinduism, Optional holiday"
2025-04-10,Mahavir Jayanti,Mahavir Jayanti is a gazetted holiday in India,National holiday
2025-04-13,First day of Passover,"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah.",Observance
2025-04-13,Vaisakhi,"Vaisakhi, also known as Baisakhi, is a harvest celebration on either April 13 or April 14 in the Gregorian calendar. It is one of India’s most notable celebrations.",Optional holiday
2025-04-14,Mesadi,Mesadi is a restricted holiday in India,Optional holiday
2025-04-14,Ambedkar Jayanti,Ambedkar Jayanti is a observance in India,Observance
2025-04-15,Bahag Bihu/Vaisakhadi,Bahag Bihu/Vaisakhadi is a restricted holiday in India,Optional holiday
2025-04-17,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,"Observance, Christian"
2025-04-18,Good Friday,Many Christians commemorate Jesus Christ’s crucifixion and death on Good Friday. It is a gazetted holiday in India.,National holiday
2025-04-20,Easter Day,"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.",Optional holiday
2025-05-01,International Worker's Day,,Observance
2025-05-09,Birthday of Rabindranath,Birthday of Rabindranath is a restricted holiday in India,Optional holiday
2025-05-11,Mothers' Day,Mother’s Day celebrates the achievements and efforts of mothers and mother figures.,Observance
2025-05-12,Buddha Purnima/Vesak,"Vesak, also known as Buddha Purnima, celebrates of Gautama Buddha's birth, enlightenment and death.",National holiday
2025-06-07,Bakrid,"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest days of the year.",National holiday
2025-06-15,Fathers' Day,Father’s Day celebrates fatherhood and male parenting on different dates worldwide.,Observance
2025-06-21T08:12:15+05:30,June Solstice,June Solstice in India (New Delhi),Season
2025-06-27,Rath Yatra,Rath Yatra is a restricted holiday in India,"Hinduism, Optional holiday"
2025-07-06,Muharram/Ashura,"Muharram, or the Islamic New Year, is a public holiday in India.",National holiday
2025-07-10,Guru Purnima,"Guru Purnima is a festival that honors spiritual Gurus by remembering their life and teachings. It is observed on the full moon day, Purnima, in the Hindu month of Ashadh, which is usually June or July.",Observance
2025-08-03,Friendship Day,"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends.",Observance
2025-08-09,Raksha Bandhan (Rakhi),Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,"Hinduism, Optional holiday"
2025-08-15,Independence Day,India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India became an independent nation.,National holiday
2025-08-15,Janmashtami (Smarta),Janmashtami (Smarta) is a restricted holiday in India,"Hinduism, Optional holiday"
2025-08-15,Parsi New Year,Parsi New Year is a restricted holiday in India,Optional holiday
2025-08-16,Janmashtami,"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.","National holiday, Hinduism"
2025-08-27,Ganesh Chaturthi/Vinayaka Chaturthi,"Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.","Hinduism, Optional holiday"
2025-09-05,Milad un-Nabi/Id-e-Milad,Milad un-Nabi is a gazetted holiday in India and marks the Prophet Muhammad's birthday.,National holiday
2025-09-05,Onam,Onam is a restricted holiday in India,"Hinduism, Optional holiday"
2025-09-22,First Day of Sharad Navratri,First Day of Sharad Navratri is a observance and Hindu holiday in India,"Observance, Hinduism"
2025-09-22T23:49:22+05:30,September Equinox,September Equinox in India (New Delhi),Season
2025-09-28,First Day of Durga Puja Festivities,First Day of Durga Puja Festivities is a observance and Hindu holiday in India,"Observance, Hinduism"
2025-09-29,Maha Saptami,Maha Saptami is a restricted holiday in India,Optional holiday
2025-09-30,Maha Ashtami,Maha Ashtami is a restricted holiday in India,Optional holiday
2025-10-01,Maha Navami,Maha Navami is a restricted holiday in India,Optional holiday
2025-10-02,Mahatma Gandhi Jayanti,Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.,National holiday
2025-10-02,Dussehra,"Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil forces. It spans for 10 days and is celebrated in varied traditions across India.","National holiday, Hinduism"
2025-10-07,Maharishi Valmiki Jayanti,Maharishi Valmiki Jayanti is a restricted holiday in India,Optional holiday
2025-10-10,Karaka Chaturthi (Karva Chauth),"Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It is celebrated by all married Hindu women on the fourth day after the full moon in the Hindu month of Kartik, which is usually in October.","Hinduism, Optional holiday"
2025-10-20,Naraka Chaturdasi,Naraka Chaturdasi is a restricted holiday in India,Optional holiday
2025-10-20,Diwali/Deepavali,Diwali is a festival of physical and spiritual light celebrated in October or November each year.,"National holiday, Hinduism"
2025-10-22,Govardhan Puja,Govardhan Puja is a restricted holiday in India,Optional holiday
2025-10-23,Bhai Duj,Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the second day after the new moon in the Hindu month of Kartika.,"Hinduism, Optional holiday"
2025-10-28,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India,"Hinduism, Optional holiday"
2025-10-31,Halloween,Halloween is a festive occasion that is celebrated in many countries on October 31 each year.,Observance
2025-11-05,Guru Nanak Jayanti,Guru Nanak Jayanti is a gazetted holiday in India,National holiday
2025-11-24,Guru Tegh Bahadur's Martyrdom Day,Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India,Optional holiday
2025-12-15,First Day of Hanukkah,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for 8 days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Observance
2025-12-21T20:33:05+05:30,December Solstice,December Solstice in India (New Delhi),Season
2025-12-22,Last day of Hanukkah,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Observance
2025-12-24,Christmas Eve,Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.,Optional holiday
2025-12-25,Christmas,"Many Christians celebrate Christmas Day, which is a gazetted holiday in India, on December 25 each year.",National holiday
2025-12-31,New Year's Eve,"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.",Observance
